"name","type","title","description","icon","links.0","author","published_at","links.1"
"LeadAlertsBot","bot","Lead Alerts Bot","Бот для отслеживания упоминаний в указанных чатах и каналах.","/projects/lead-alerts-bot.jpg","https://t.me/LeadAlertsBot","yurayakimenko","2021-06-08",
"BookKicker_bot","bot","BookKicker👻 📚","Kicks your book every hour to your telegram.","/projects/book-kicker-bot.jpg","https://t.me/BookKicker_bot","alexff91","2021-06-21",
"getatopic_bot","bot","getatopic","This bot will help you choose topics for an English speaking club.","/projects/get-a-topic-bot.jpg","https://t.me/getatopic_bot","vovalukashov","2021-06-21",
"antiplagiat_robot","bot","Антиплагиат-бот от Text.ru| Точная проверка на уникальность","Быстрая проверка текста на уникальность, не выходя из Telegram, от Text.ru","/projects/antiplagiat-robot.jpg","https://t.me/antiplagiat_robot","eldar_agaev","2021-06-21",
"nftmap.com/landing","web","NftMap landing","Future of Digital Art","/projects/nftmap-landing.svg","https://nftmap.com/landing","bitcoinsmd","2021-06-21",
"makereview.botsbase.ru","web","Телеграм бот для отзывов и предложений","Телеграм бот для оповещения и напоминания о встречах и мероприятиях. Создавайте встречи, приглашайте пользователей и напоминайте им о себе! Или подписывайтесь на интересные встречи и не забывайте про них!",,"https://makereview.botsbase.ru/","bazhanRO","2021-06-21",
"videodiarybot","bot","Video Diary","Личные видеодневники. Personal video diaries.","/projects/video-diary-bot.jpg","https://t.me/videodiarybot","tgaru","2021-06-28",
"checklybot","bot","Checklist","I make checklists from your messages.","/projects/checkly-bot.jpg","https://t.me/checklybot","defileroff","2021-06-28",
"nutrify_bot","bot","nutrify","Бот, готовый поделиться сбалансированными рационами на день.","/projects/nutrify-bot.jpg","https://t.me/nutrify_bot","defileroff","2021-06-28",
"feed_ai","channel","Tech Feed AI","IT news summarized by AI.",,"https://t.me/feed_ai","th3luck","2021-06-28",
"voicewatcherbot","bot","Voice Watcher 🎙👀","Напомню о старте Войс чата в вашей группе / Reminder Bot will send the voice chat start alert","/projects/voice-watcher-bot.jpg","https://t.me/voicewatcherbot","bazhanRO","2021-06-28",
"apple.co/2UKH3rg","mobile","QR-code Widget","Need to frequently show QR-code? Add QR right to the main screen using this application! Also you can add QR to Apple Wallet.","/projects/qr-code-widget.png","https://apple.co/2UKH3rg","maxkazakov","2021-06-28",
"quit_smoking_bot","bot","Бросай!","Бот помогает людям бросить курить. Bot helps to quit smoking.","/projects/quit-smoking-bot.jpg","https://t.me/quit_smoking_bot","eldar_agaev","2021-07-07",
"YouTube SubSound","extension","YouTube SubSound","Automatic subtitle dubbing on YouTube. Browser extension that automatically pronounces the subtitles on YouTube.","/projects/youtube-subsound.jpg","https://chrome.google.com/webstore/detail/youtube-subsound/ohjehnjdpnambhdcalhoabplbiclekhp","tgaru ","2021-07-07",
"life_table_bot","bot","Таблица жизни | Узнай сколько тебе осталось","Бот отправит таблицу жизни. На ней: прожитые недели и остаток недель до 90 лет.","/projects/life-table-bot.jpg","https://t.me/life_table_bot","eldar_agaev","2021-07-07",
"justplacybot","bot","Placy","Placy — find places near you. Placy — ищите места возле вас.","/projects/just-placy-bot.jpg","https://t.me/justplacybot","eldar_agaev","2021-07-19",
"face2stickerbot","bot","Face 2 Sticker","I turn your photos into comic style stickers.","/projects/face2sticker-bot.jpg","https://t.me/face2stickerbot","defileroff","2021-07-19",
"einstein_iqbot","bot","Альберт Эйнштейн | IQ-тест","IQ-тест на уровень интеллекта. Пройдите тест —> получите результат!","/projects/einstein-iq-bot.jpg","https://t.me/einstein_iqbot","eldar_agaev","2021-07-19",
"FlightAlerts_Bot","bot","Flight Alerts","Track flights.","/projects/flight-alerts-bot.jpg","https://t.me/FlightAlerts_Bot","v11cb","2021-08-02",
"very_lovely_bot","bot","❤️ Lovely | Знакомства в Telegram","Бот для интересных знакомств. Заполни анкету -> получи интересных людей из своего города:)","/projects/very-lovely-bot.jpg","https://t.me/very_lovely_bot","eldar_agaev","2021-08-02",
"Мультипоиск","extension","Metasearch engine - upgrade Google search","Instantly get search results in DuckDuckGo, Bing and Yahoo or any other search engine while searching in Google","/projects/metasearch-engine-upgrade.jpg","https://chrome.google.com/webstore/detail/multisearch-multiple-sear/hcndlmemmcbjncbmbgmplmedkmbanpbo","izvonov","2021-08-02",
"fastfeedback_bot","bot","Fast feedback","Создай опросник прямо в Telegram","/projects/fast-feedback-bot.jpg","https://t.me/fastfeedback_bot","rg_ceo","2021-08-02",
"spinbottle_bot","bot","Бутылочка | Играй с друзьями","Бот-бутылочка. Проведите время с друзьями весело.","/projects/spin-bottle-bot.jpg","https://t.me/spinbottle_bot","eldar_agaev","2021-08-02",
"Pull-ups","mobile","Pull-ups","The Best App to keep track of your physical activity for pull-ups! Set up your level and grow magnificent biceps!","/projects/pull-ups.png","https://apps.apple.com/us/app/pull-ups/id1575124865","gralexey","2021-08-10",
"CutPriceBot","bot","CutPrice","Собираем обувь со скидкой более 30% со всего интернета 👌","/projects/cut-price-bot.jpg","https://t.me/CutPriceBot","Zestes","2021-08-10",
"DriverHot_bot","bot","Володя, что делать? Остановили ДПС!",,"/projects/driver-hot-bot.jpg","https://t.me/DriverHot_bot","Olegivsa","2021-08-10",
"punchline_robot","bot","Поиск трека по тексту","Отправь строчку из любого трека, а я постараюсь найти его название:)","/projects/punchline-robot.jpg","https://t.me/punchline_robot","eldar_agaev","2021-08-10",
"BTC_transaction_robot","bot","BTC Transaction Explorer [Bitcoin]","Checks BTC transaction status by transaction ID and notifies you when it is confirmed!","/projects/btc-transaction-robot.jpg","https://t.me/BTC_transaction_robot","eldar_agaev","2021-08-10",
"recally_bot","bot","Recally","Memorization by repetitive sending back your text","/projects/recally-bot.jpg","https://t.me/recally_bot","gralexey","2021-09-07",
"HeadMarket Subscription","web","Подписка на рассылку 1 месяц","Получай еженедельно подборку топовых товаров на Wildberries","/projects/head-market-subscription.ico","https://headmarket.io/month_subscription","fedor_secret","2021-09-07",
"fun_events_bot","bot","Eventy",,,"https://t.me/fun_events_bot","gralexey","2021-09-07",
"botspulse.com","web","Каталог ботов телеграм","Каталог телеграм ботов 2021 БотБейз! Все боты в одном месте!",,"https://botspulse.com/","bazhanRO","2021-09-07",
"futureweightbot","bot","FutureWeight","Бот позволяет рассчитать темп похудения.","/projects/future-weight-bot.jpg","https://t.me/futureweightbot","devprodct","2021-09-07",
"CryptoGrannyFree","channel","Crypto Granny Free","Crypto arbitrage opportunities delivered to your Telegram.","/projects/crypto-granny-free.jpg","https://t.me/CryptoGrannyFree","borodutch","2021-10-08",
